year_awarded,date_awarded,notice_type,notice_id,contract_name,project_id,project_name,sector,sector_reclassifcation,project_type,procurement_channel,data_source,record_id,bid_reference_no,contract_url,country,contract_value_usd,contract_currency,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
2022,2022-06-27,Contract,1733320,"Assessment, Design and Development of Technical Specifications for an E-Payment Platform for the Government of St. Vincent and the Grenadines",P171528,Caribbean Digital Transformation Project,Info & Communication,Digital Economy & ICT,Consultant Services,Project procurement contracts,World Bank,1733320,SVGCARDTP-C-CQS-2,https://projects.worldbank.org/en/projects-operations/contractoverview/1733320,Caribbean,120000.0,USD,CONSULTANCY ASSOCIATES,顾问助理,739740,China,1,0,0,0.0
2022,2022-04-20,Contract,1695737,Passenger Boarding Bridges,P167974,Sint Maarten Airport Terminal Reconstruction Project,Transportation,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1695737,SX-PJIAE-236385-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1695737,St Maarten,2843896.0,USD,CIMC-TIANDA NETHERLANDS COOPERATIEF U.A. (NETHERLANDS); SHENZHEN CIMC-TIANDA AIRPORT SUPPORT LTD.,中集天阳集团有限公司,648124; 648131,Netherlands; China,1,1,1,0.0
2021,2021-12-20,Contract,1762183,Supply and Delivery if Five (5) Humid BM and Trolley,P175268,Guyana COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1762183,GY-G-COVID FTO-278205-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1762183,Guyana,26821.0,USD,SINOPHARM FORTUNE INTERNATIONAL TRADING CORP,中国医药集团有限公司国际贸易分公司,764868,China,1,1,0,0.0
2021,2021-07-31,Contract,1667973,"Tercer Acuerdo Complementario al Acuerdo Gubernamental de Compra y Suministro del 23 de febrero de 2021, por 4 millones de dosis, por un total de USD 48 millones, con un precio individual de USD 12.00",P173773,Ecuador COVID-19 Emergency Response and Vaccination Project,Health,Health,Goods,Project procurement contracts,World Bank,1667973,EC-MPH-DFA-246372-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1667973,Ecuador,53005000.0,USD,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
2021,2021-06-29,Contract,1802841,"Procurement and Delivery of SARS-CoV-2 Vaccine (Vero cell), Inactivated or COVID-19 Vaccine (Vero Cell), Inactivated- Sinopharm developed and produced by Manufacturer of the type and specification",P173989,Republic of Trinidad and Tobago: COVID-19 EMERGENCY RESPONSE PROJECT,Health,Health,Goods,Project procurement contracts,World Bank,1802841,TT-MOH-348518-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1802841,Trinidad and Tobago,7500000.0,USD,China National Biotec Group Company Limited,中国生物技术集团有限公司,637472,China,1,1,0,0.0
2021,2021-06-09,Contract,1716506,Supply and Delivery of COVID 19 Vaccines,P175268,Guyana COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1716506,GY-G-COVID FTO-296098-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1716506,Guyana,1500000.0,USD,SINOPHARM INTERNATIONAL HONG KONG LIMITED,国药控股香港有限公司,660752,China,1,0,0,0.0
2021,2021-06-06,Contract,1802842,"Procurement and Delivery of SARS-CoV-2 Vaccine (Vero cell), Inactivated or COVID-19 Vaccine (Vero Cell), Inactivated- Sinopharm developed and produced by Manufacturer of the type and specification",P173989,Republic of Trinidad and Tobago: COVID-19 EMERGENCY RESPONSE PROJECT,Health,Health,Goods,Project procurement contracts,World Bank,1802842,TT-MOH-348548-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1802842,Trinidad and Tobago,173432.0,USD,China National Biotec Group Company Limited,中国生物技术集团有限公司,637472,China,1,1,0,0.0
2021,2021-03-10,Contract,1708728,Vacuna contra SARS COV-2 Inactivada CORONAVAC suspensión inyectable frasco vial,P173872,El Salvador COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1708728,RECOVID-88-DIR-GO,https://projects.worldbank.org/en/projects-operations/contractoverview/1708728,El Salvador,35600000.0,USD,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
2021,2021-03-10,Contract,1708381,Adquisición Vacuna contra SARS COV-2 inactivada CORONAVAC suspensión inyectable frasco vial,P173872,El Salvador COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1708381,RECOVID-91-DIR-GO,https://projects.worldbank.org/en/projects-operations/contractoverview/1708381,El Salvador,35000000.0,USD,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
2021,2021-03-10,Contract,1690767,Adquisición de vacunas contra SARS COVID-2 inactividad CORONAVAC suspensión inyectable,P173872,El Salvador COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1690767,RECOVID-49-DIR-GO-2,https://projects.worldbank.org/en/projects-operations/contractoverview/1690767,El Salvador,30000000.0,USD,"SINOVAC LIFE SCIENCES CO., LTD.",北京科兴中维,599855,China,1,0,0,0.0
2020,2020-12-29,Contract,1640793,EJECUCION DE LA OBRA DE LA AVENIDA VIA EXPRESA DEL CUSCO LPI N° 01-2020/COPESCO/PRODER/METRA,P132505,Cusco Transport Improvement Project,Public Admin; Transportation,Public Admin & Governance,Works,Project procurement contracts,World Bank,1640793,PE-COPESCO-157324-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1640793,Peru,80459594.59,USD,China Gezhouba Group Company Limited,中国格洲坝集团有限公司,509146,China,1,1,0,0.0
2020,2020-08-10,Contract,1629574,"Adquisición de batas de uso personal con la empresa Commander Health Supply a través del proceso de BFP. Batas medianas 837.250 unidades y batas grandes 656.75 unidades, por usd 8.123.688 millones",P173773,Ecuador COVID-19 Emergency Response and Vaccination Project,Health,Health,Goods,Project procurement contracts,World Bank,1629574,EC-MPH-DFA-186835-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1629574,Ecuador,8123688.0,USD,COMMANDER HEALTH SUPPLY,指挥官生命值供应,516714,China,1,0,0,0.0
2020,2020-06-24,Contract,1623204,Adquisición de Insumos de Protección Personal,P173861,Honduras COVID-19 Emergency Response Project,,Health,Goods,Project procurement contracts,World Bank,1623204,HN-INVEST-H-174944-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1623204,Honduras,9982525.0,USD,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
2020,2020-06-15,Contract,1620208,"insumos de protección personal (2300000 guantes de examen, 137000 antiparras protectoras, 1119000 barbijos N95, 250000 overoles de seguridad) más el costo de inspección de los bienes",P173767,AR: COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1620208,GO-DIR-12-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1620208,Argentina,9864698.26,USD,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
2020,2020-06-10,Contract,1630969,achat d'equipements de protection individuelle ( surgical mask,P173811,Haiti COVID-19 Response,Health,Health,Goods,Project procurement contracts,World Bank,1630969,HT-AF-HEALTH-188378-GO-DIR,https://projects.worldbank.org/en/projects-operations/contractoverview/1630969,Haiti,1020000.0,USD,China MEHECO Corporation,中国医药对外贸易总公司,492465,China,1,1,0,0.0
2020,2020-06-09,Contract,1607231,Lote 2: Equipos de Medición Concentrada para Edenorte,P147277,Distribution Grid Modernization and Loss Reduction Project,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1607231,B-3-6-A-Lote2,https://projects.worldbank.org/en/projects-operations/contractoverview/1607231,Dominican Republic,18861.17,USD,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
2020,2020-06-09,Contract,1607230,Lote 1: Equipos de Medición Concentrada para Edesur.,P147277,Distribution Grid Modernization and Loss Reduction Project,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1607230,B-3-6-A-Lote1,https://projects.worldbank.org/en/projects-operations/contractoverview/1607230,Dominican Republic,283871.1,USD,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
2020,2020-06-09,Contract,1607216,Lote 3: Equipos de Medición Concentrada para Edeeste.,P147277,Distribution Grid Modernization and Loss Reduction Project,Energy & Extractives,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1607216,B-3-6-A-Lote3,https://projects.worldbank.org/en/projects-operations/contractoverview/1607216,Dominican Republic,146183.95,USD,"Hexing Electrical Co.,Ltd",和兴电气有限公司,162520,China,1,0,0,0.0
2020,2020-04-16,Contract,1620679,Barbijos tricapa 625.000 Overoles de seguridad 12.500 Barbijo NK95 625.000 Antiparras médicas 12.500 Guantes de latex 1.250.000,P173767,AR: COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1620679,GO-DIR-06-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1620679,Argentina,2395750.0,USD,SHENZHEN SED INDUSTRY CO.,深圳市桑达实业股份有限公司,497011,China,1,1,0,0.0
2020,2020-04-13,Contract,1615872,Máscaras protectoras,P173767,AR: COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1615872,GO-DIR-05-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615872,Argentina,400000.0,USD,INTCO MEDICAL (HK) CO.,英科医疗（香港）有限公司,487362,China,1,0,0,0.0
2020,2020-04-13,Contract,1615865,Barbijo descartable tricapa,P173767,AR: COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1615865,GO-DIR-04-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615865,Argentina,660600.0,USD,): SHANGHAI TO-ALL FOREIGN TRADING CO,): 上海通全对外贸易有限公司,487309,China,1,0,0,0.0
2020,2020-04-13,Contract,1615710,Overoles de seguridad,P173767,AR: COVID-19 Emergency Response Project,Health,Health,Goods,Project procurement contracts,World Bank,1615710,GO-DIR-03-2020,https://projects.worldbank.org/en/projects-operations/contractoverview/1615710,Argentina,238200.0,USD,BESTLUCK ENTERPRISE,百事达企业,487051,China,1,0,0,0.0
2019,2019-12-09,Contract,1606341,Lote 1: Ecógrafo Portátil,P106735,Provincial Public Health Insurance Development Project,Health,Health,Goods,Project procurement contracts,World Bank,1606341,AR-MSAL-71694-GO-RFB Lote 1,https://projects.worldbank.org/en/projects-operations/contractoverview/1606341,Argentina,382000.0,USD,CHISON MEDICAL TECHNOLOGIES CO,中山医疗科技有限公司,431235,China,1,0,0,0.0
2019,2019-09-27,Contract,1616717,"Mantenimiento Periódico del camino vecinal Dv. Saywite -Cachora, Distrito de SanPedro de Cachora, Provincia de Abancay, Región Apurimac",P132515,Support to the Subnational Transport Program Project,Transportation,Infrastructure & Energy,Works,Project procurement contracts,World Bank,1616717,PE-PROVIAS-163546-CW-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1616717,Peru,2283636.21,USD,"Jagui S.A.C.; Weihai Construction Group Co., Ltd.",威海建设集团有限公司,489050; 489096,Peru; China,1,1,1,0.0
2018,2018-12-10,Contract,1580217,Lote 1: Contador Hematológico de 3 diferenciales (grande),P106735,Provincial Public Health Insurance Development Project,Health,Health,Goods,Project procurement contracts,World Bank,1580217,AR-PHIP-640-B-LPI,https://projects.worldbank.org/en/projects-operations/contractoverview/1580217,Argentina,240785.07,USD,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONIC CO.,深圳市迈瑞生物医药电子有限公司,542139,China,1,0,0,0.0
2018,2018-09-11,Contract,1562978,CONSTRUCCIÓN DEL TRAMO CARRETERO SAN JOSÉ DE CHIQUITOS - SAN IGNACIO DE VELASCO,P152281,Santa Cruz Road Corridor Connector Project (San Ignacio - San Jose),Transportation,Infrastructure & Energy,Works,Project procurement contracts,World Bank,1562978,ABC Nro 711/18 GNT-SCT-MRH-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1562978,Bolivia,112041241.23,USD,China State Construction Engineering Corporation Limited,四、中国建筑工程总公司,406543,China,1,1,0,0.0
2018,2018-07-05,Contract,1562888,FS TIC Nº 1/16 - Adquisición de Sistema Cluster HPC,P106752,Unleashing Productive Innovation Project,Info & Communication; Education; Industry & Trade/Ser,Education,Goods,Project procurement contracts,World Bank,1562888,8634 - AR-MINCYT-28511-GO-RFB,https://projects.worldbank.org/en/projects-operations/contractoverview/1562888,Argentina,2402000.0,USD,LENOVO GLOBAL TECHNOLOGY HK LIMITED,联想环球科技香港有限公司,369143,China,1,0,0,0.0
2018,2018-05-28,Contract,1566879,Mary Eming Young,P101504,Second Bolsa Família,Social Protection,,Consultant Services,Project procurement contracts,World Bank,1566879,3B23 -CS-SNPDH,https://projects.worldbank.org/en/projects-operations/contractoverview/1566879,Brazil,25764.23,USD,INDIVIDUAL CONSULTANT,个人顾问,03ee2bf4e77f869d,China,1,0,0,0.0
2018,2018-05-17,Contract,1560811,"LOTE 4 - MALLA 5 RUTA 09 SANTA CRUZ - TRINIDAD, TRAMO: NUEVA COTOCA - TRINIDAD, RUTA 03 PUERTO VARADOR - TRINIDAD Y RUTA 09 TRINIDAD - SAN JAVIER",P144597,BO Road Sector Capacity Development Project,Transportation,Infrastructure & Energy,Works,Project procurement contracts,World Bank,1560811,ABC No 495/18 GNT-SCV-MRH-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1560811,Bolivia,44871933.48,USD,CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,346455; 346456,China; China,1,1,0,0.0
2018,2018-05-17,Contract,1560809,"LOTE 1 - MALLA 2 RUTA 09 SANTA CRUZ - TRINIDAD, TRAMO: CUATRO CAÑADAS - NUCLEO II",P144597,BO Road Sector Capacity Development Project,Transportation,Infrastructure & Energy,Works,Project procurement contracts,World Bank,1560809,ABC No 494/18 GNT-SCV-MRJ-BM,https://projects.worldbank.org/en/projects-operations/contractoverview/1560809,Bolivia,25877790.61,USD,CHINA HARBOUR ENGINEERING COMPANY LIMITED; CCCC SECOND HIGWAY ENGINEERING CO. LTD.,中国港湾工程有限公司；中交第二航运工程有限公司,346455; 346456,China; China,1,1,0,0.0
2018,2018-04-12,Contract,1554457,Adquisición de Computadores personales para el Programa de Comunidad Educativa en Línea en los Circuitos Focalizados,P152096,Supporting Education Reform in Targeted Circuits,Education,Education,Goods,Project procurement contracts,World Bank,1554457,BIRF-8542-LPI-B-2016-001,https://projects.worldbank.org/en/projects-operations/contractoverview/1554457,Ecuador,5893050.24,USD,HAIER INTERNATIONAL BUSSINESS CORPORATION LIMITED,海尔国际商务股份有限公司,349042,China,1,0,0,0.0
2017,2017-02-03,Contract,1543474,Mobiliario clinico hospitalario - LOTE 3,P117157,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,,Health,Goods,Project procurement contracts,World Bank,1543474,FSSPSV-281-LPI-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1543474,El Salvador,39157.44,USD,CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,329063,China,1,0,0,0.0
2016,2016-11-21,Contract,1543384,Equipo de monitoreo clinico y fetal,P117157,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,,Health,Goods,Project procurement contracts,World Bank,1543384,No. FSSPSV-277-LPI-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1543384,El Salvador,2277836.83,USD,CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,329063,China,1,0,0,0.0
2016,2016-08-17,Contract,1542734,Purchase of Power supply transformers,P114971,PY Energy Sector Strengthening Project,Goods,Infrastructure & Energy,4970900.0,Project procurement contracts,World Bank,1542734,6560/2016,https://projects.worldbank.org/en/projects-operations/contractoverview/1542734,Paraguay,,USD,95543,95543,China,1,,0,0,
2015,2015-11-09,Contract,1535131,Lote 1: Bomba de Infusion a Jeringa y Lote 5: Medidor de Saturacion de Oxigeno,P106735,Provincial Public Health Insurance Development Project,Health,Health,Goods,Project procurement contracts,World Bank,1535131,PHIP-3-LPI-B-8,https://projects.worldbank.org/en/projects-operations/contractoverview/1535131,Argentina,681742.0,USD,MR INVESTMENTS (HK) LIMITED,先生投资（香港）有限公司,322913,China,1,0,0,0.0
2015,2015-08-05,Contract,1541158,Rockfall Mitigation - Sendall Tunnel,P117871,Regional Disaster Vulnerability Reduction APL1 - Grenada and St. Vincent and the Grenadines,Public Admin; Transportation; Water/Sanit/Waste,"Water, Sanitation & Waste",Works,Project procurement contracts,World Bank,1541158,DVRP/NCBW/01,https://projects.worldbank.org/en/projects-operations/contractoverview/1541158,OECS Countries,1096118.31,USD,JIANGSU GEOLOGY & ENGINEERING CO. LTD,江苏地质工程有限公司,113557,China,1,0,0,0.0
2015,2015-04-14,Contract,1530142,Supply Cables Insulators and MUFAs to 23 kV and Cables Description of Contract,P114971,PY Energy Sector Strengthening Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1530142,764/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1530142,Paraguay,776196.6,USD,NARI GROUP CORP.,南瑞集团有限公司,95543,China,1,1,0,0.0
2015,2015-02-17,Contract,1527391,Lote 3,P114971,PY Energy Sector Strengthening Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1527391,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527391,Paraguay,3676416.67,USD,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
2015,2015-02-17,Contract,1527390,Contractor Overview,P114971,PY Energy Sector Strengthening Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1527390,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527390,Paraguay,5664660.47,USD,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
2015,2015-02-17,Contract,1527389,Lote 1,P114971,PY Energy Sector Strengthening Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1527389,ANDE-BIRF N 756/2014,https://projects.worldbank.org/en/projects-operations/contractoverview/1527389,Paraguay,2376304.23,USD,NARI GROUP CORPORATION,南瑞集团公司,186085,China,1,1,0,0.0
2013,2013-03-28,Contract,1507024,"Adquisicion de Equipamiento Basico de Hospitales Primarios, Hospitales Departamentales y Regionales",P106870,Improving Community and Family Health Care Services Project,Health,Health,Goods,Project procurement contracts,World Bank,1507024,LPI 02/05/2011-Adquisicion Equip Basico,https://projects.worldbank.org/en/projects-operations/contractoverview/1507024,Nicaragua,376160.0,USD,SHENZEN MINDRAY BIO-MEDICAL ELECTRONIC,深圳迈瑞生物医用电子,304538,China,1,0,0,0.0
2012,2012-10-24,Contract,1327057,"Supply of 60 electric multiple units-EMUS, with 4 cars each, for SETRANS",P111996,Upgrading and Greening the Rio de Janeiro Urban Rail System,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1327057,No. 018/ASJUR/12,https://projects.worldbank.org/en/projects-operations/contractoverview/1327057,Brazil,358482289.23,USD,"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口集团有限公司；中国国铁集团长春车辆厂,172213; 172214,China; China,1,1,0,0.0
2012,2012-08-28,Contract,1325071,Lote 1 - item 1 - Lector de Elisa spectrofotómetro para realizar la densidad óptica en microplacas (método Elisa).,P090993,AR- Essential Public Health Functions,Public Admin; Health,Health,Goods,Project procurement contracts,World Bank,1325071,FESP-292-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1325071,Argentina,897750.0,USD,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONI,深圳迈瑞生物,191675,China,1,0,0,0.0
2009,2009-06-23,Contract,1284880,"Supply of 30 electric multiple EMUS, with 4 cars each, for SETRANS",P111996,Upgrading and Greening the Rio de Janeiro Urban Rail System,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1284880,006/asjur/09,https://projects.worldbank.org/en/projects-operations/contractoverview/1284880,Brazil,220483182.53,USD,"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口集团有限公司；中国国铁集团长春车辆厂,172213; 172214,China; China,1,1,0,0.0
2005,2005-11-29,Contract,1255975,ANSE LA RAYE/MARIGOT CONSTRUCTION (NEW SECONDARY SCHOOL),P077712,ST. LUCIA Education Development Project,Public Admin; Education,Education,Works,Project procurement contracts,World Bank,1255975,SL/WB-ICB-W-01/05(B) ANSE LA RAYE,https://projects.worldbank.org/en/projects-operations/contractoverview/1255975,St. Lucia,4208014.81,USD,CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION,中国成套设备进出口股份有限公司,102864,China,1,1,0,0.0
2005,2005-10-29,Contract,1256115,GROS ISLET SECONDARY SCHOOL CONSTRUCTION,P077712,ST. LUCIA Education Development Project,Public Admin; Education,Education,Works,Project procurement contracts,World Bank,1256115,SL/WB-ICB-W-01/05(A) GROS ISLET,https://projects.worldbank.org/en/projects-operations/contractoverview/1256115,St. Lucia,3865650.76,USD,CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION; C.O. WILLIAMS (ST. LUCIA) LTD.,中国成套设备进出口集团有限公司；威廉姆斯公司（圣卢西亚）,102864; 139177,China; St. Lucia,1,1,1,0.0
2004,2004-04-02,Contract,1240081,SUMINISTRO DE MEDIDORES MONOFASICOS DE ENERGIA ELECTRICA ACTIVA Y ACCESORIOS,P008177,Uruguay Power Transmission & Distribution Project,,Infrastructure & Energy,Goods,Project procurement contracts,World Bank,1240081,FF31A HOLLEY GROPU CO. LTD.,https://projects.worldbank.org/en/projects-operations/contractoverview/1240081,Uruguay,1457000.0,USD,HOLLEY CROPU CO. LTD,华立作物有限公司,118656,China,1,0,0,0.0
2002,2002-08-06,Contract,1224257,PURCHASE OF MEDICAL AND INDUSTRIAL EQUIP. AND FURNITURE,P007927,PY-Maternal Health and Child Development Project,Public Admin; Education; Health,Education,Goods,Project procurement contracts,World Bank,1224257,ARGON S.R.L. - 106/2.002N (LPI 01-2001),https://projects.worldbank.org/en/projects-operations/contractoverview/1224257,Paraguay,221760.85,USD,ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & CO. KG; HEINE,英石。弗朗西斯医疗；吉布德马丁有限公司；海涅,90079; 97788; 100523,China; Germany; Germany,1,0,1,0.0
