name,name_zh,source,ref
HAIER INTERNATIONAL BUSSINESS CORPORATION LIMITED,海尔国际商务股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CONSORCIO JORMAR S.A.,CONSORCIO JORMAR S.A.,machine_translated:mymemory,https://api.mymemory.translated.net/get
95543,95543,machine_translated:mymemory,https://api.mymemory.translated.net/get
MR INVESTMENTS (HK) LIMITED,MR INVESTMENTS (HK) LIM,machine_translated:mymemory,https://api.mymemory.translated.net/get
JIANGSU GEOLOGY & ENGINEERING CO. LTD,江苏地质工程有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NARI GROUP CORP.,NARI GROUP CORP.,machine_translated:mymemory,https://api.mymemory.translated.net/get
NARI GROUP CORPORATION,NARI GROUP CORP,machine_translated:mymemory,https://api.mymemory.translated.net/get
SHENZEN MINDRAY BIO-MEDICAL ELECTRONIC,深圳迈瑞生物医用电子,machine_translated:mymemory,https://api.mymemory.translated.net/get
"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口-CMC ； CNR长春铁路车辆有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONI,深圳迈瑞生物,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION,中国成套设备进出口股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION; C.O. WILLIAMS (ST. LUCIA) LTD.,中国成套设备进出口上海公司； C.O.威廉姆斯（圣卢西亚）有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
HOLLEY CROPU CO. LTD,HOLLEY CROPU CO. LTD,machine_translated:mymemory,https://api.mymemory.translated.net/get
ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & CO. KG; HEINE,ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & Co. KG; HEINE,machine_translated:mymemory,https://api.mymemory.translated.net/get
HOLLEY GROUP CO. LTD.,HOLLEY GROUP Co. Ltd.,machine_translated:mymemory,https://api.mymemory.translated.net/get
ARGON; ST. FRANCIS MEDICAL,ARGON ； St. FRANCIS MEDICAL,machine_translated:mymemory,https://api.mymemory.translated.net/get
TIANJIN YORKOOL INT TRADI,TIANJIN YORKOOL INT TRADI,machine_translated:mymemory,https://api.mymemory.translated.net/get
BGI HEALTH (HK) CO. LTD,华大健康（香港）有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
"SHANDONG RUITAI GLASS INSULATOR CO.,LTD",山东瑞泰玻璃绝缘子有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINO SOAR HYBRID TECH CO,SINO SOAR HYBRID TECH CO,machine_translated:mymemory,https://api.mymemory.translated.net/get
"SHENZHEN SDG INFORMATION CO., LTD.",深圳市特发信息股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
"Sino Soar Hybrid (Beijing) Technology Co.,Ltd.",中翔混合动力（北京）科技有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
"JIANGSU SHUANGHUI POWER DEVELOPMENT CO.,LTD.",江苏双汇电力发展有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
"YUTONG  BUS CO., LTD",宇通客车股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
INSTEC-Sino Soar Consortium,INSTEC-Sino Soar财团,machine_translated:mymemory,https://api.mymemory.translated.net/get
Power China Jhianxi electric power contruction co. Ltd.,Power China Jhianxi电力建设有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
THE 23RD METALLURGICAL CO,第23届冶金CO,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOHYDRO Corporation Limited,中国水电有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
HENAN DINGLI POWER EQUIPM,河南鼎力动力设备有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
TBEA SHANDONG LUNENG TAISHAN CABLE CO. LTD,特变电工山东鲁能泰山电缆有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NUCTECH COMPANY LIMITED,NUCTECH COMPANY LIMITED,machine_translated:mymemory,https://api.mymemory.translated.net/get
PINGGAO GROUP INTERNATIONAL ENGINEERING CO. LTD.,平高集团国际工程有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
THE 23RD METALLURGICAL CONSTRUCTION GROUP,第二十三冶金建设集团公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
AVIC INT HOLDING CORP,中航国际控股股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CONSORCIOS LONGFOR,CONSORCIOS LONGFOR,machine_translated:mymemory,https://api.mymemory.translated.net/get
Joint Venture: China Road and Bridge Corporation & Kuldipsingh Infra NV,合资公司：中国路桥股份有限公司& Kuldipsingh Infra NV,machine_translated:mymemory,https://api.mymemory.translated.net/get
PCI-SINOPHARMINTL CONSORT,PCI-SINOPHARMINTL CONSORT,machine_translated:mymemory,https://api.mymemory.translated.net/get
Joint Venture of SUMEC Complete Equipment & Engineering Co. Ltd and XJ Group Corporation,苏梅克成套设备工程有限公司与XJ集团股份有限公司合资,machine_translated:mymemory,https://api.mymemory.translated.net/get
CMEC - SINOPHARMINTL CONS,CMEC - SINOPHARMINTL缺点,machine_translated:mymemory,https://api.mymemory.translated.net/get
Jiangsu Zhenhuai Construction Group Co. Ltd,江苏振淮建设集团有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SUMEC COMPLETE EQUIPMENT,SUMEC成套设备,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOHYDRO CORPORATION LTD,中国水电股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA ROAD AND BRIDGE COR,中国路桥COR,machine_translated:mymemory,https://api.mymemory.translated.net/get
ASOCC ACCID S&Z,ASOCC ACCID S&Z,machine_translated:mymemory,https://api.mymemory.translated.net/get
ASOCIACION ACCIDENTAL S&Z,ASOCIACION意外S&Z,machine_translated:mymemory,https://api.mymemory.translated.net/get
HENGTONG OPTIC ELECTRIC C,亨通光电C,machine_translated:mymemory,https://api.mymemory.translated.net/get
WAVTEQ LIMITED,WAVTEQ LIMITED,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINANAT.ELEC W&CIMP/EXP,CHINANAT.ELEC W&CIMP/EXP,machine_translated:mymemory,https://api.mymemory.translated.net/get
HONG KONG WORLDTRADE CENTERS ASSOC,香港世界贸易中心协会,machine_translated:mymemory,https://api.mymemory.translated.net/get
JIANGZU ZHONGTIAN TEC CO,JIANGZU ZHONGTIAN TEC CO,machine_translated:mymemory,https://api.mymemory.translated.net/get
PEOPLES CABLE GROUP CO LT,PEOPLE CABLE GROUP CO LT,machine_translated:mymemory,https://api.mymemory.translated.net/get
INFOCIVITAS LIMITED,INFOCIVITAS LIMITED,machine_translated:mymemory,https://api.mymemory.translated.net/get
TBEA SHANDONG LUNENG TAIS,特变电工山东鲁能泰斯,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA NAT CABLE ENG. CO.,中国NAT电缆工程有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA NATIONAL W&C M&X,中国W&C M&X,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINT ELECTRIC CO LTD,正泰电气股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
SHANDONG POWER EQ CO.LTD,山东省电能环保股份有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
ZTT INTERNATIONAL LIMITED,中天国际有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NARI TECHNOLOGY CO LTD,科技有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHANGJIANG INSTITUTE OF SURVEY PLANNIG DESING AND RESEARCH,长江测量研究院PLANNIG设计与研究,machine_translated:mymemory,https://api.mymemory.translated.net/get
TAIXING FENGLING MUSICAL,泰兴凤玲音乐剧,machine_translated:mymemory,https://api.mymemory.translated.net/get
HONGYUAN CONSTRUCTION COM,宏远建设有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NANJING DAJI STELL TM,南京大吉STELL TM,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA MEHECO CORPORATION,中国MEHECO公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
CMC-CSEEC CONSORTIUM,CMC-CSEEC财团,machine_translated:mymemory,https://api.mymemory.translated.net/get
CHINA MACHINERY ENGINEERI,CHINA MACHINERY ENGINEERI,machine_translated:mymemory,https://api.mymemory.translated.net/get
XIAN ELECTRIC ENGINEERING,西安电气工程,machine_translated:mymemory,https://api.mymemory.translated.net/get
SINOHYDRO CORPORATION LIM,SINOHYDRO CORPORATION LIM,machine_translated:mymemory,https://api.mymemory.translated.net/get
METRO LINEA 1 S.A.S,METRO LINEA 1 S.A.S,machine_translated:mymemory,https://api.mymemory.translated.net/get
DONGFANG ELECTRIC,Dongfang Electric,machine_translated:mymemory,https://api.mymemory.translated.net/get
Safety Custom,安全定制,machine_translated:mymemory,https://api.mymemory.translated.net/get
Qianyou Information Technology (Wuhan) Co.,千友信息技术（武汉）有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
NANJING SPEEDY LASER TECH,南京高速激光科技有限公司,machine_translated:mymemory,https://api.mymemory.translated.net/get
