award_year,notice_id,project_name,sector,country,procurement_type,winning_bid_raw,winning_country,winning_firm,currency_unit,contract_amount,contract_value_usd,notice_url,page_url,data_source
2014,CDB2014-002,Fourth Road Project (West Coast Demerara Road Improvement): Community and Driver Road Safety Education,Transportation,Guyana,Consultancy,"GeoTechVision Guyana Inc. USD 86,500.00",,GeoTechVision Guyana Inc.,USD,86500.0,86500.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Fourth-Road-Project_Community-and-Driver-Road-Safety-Education_Guyana.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-003,John Compton Dam and Rehabilitation Project: John Compton Dam Desilting and Rehabilitation Study,Water Resource Management,Saint Lucia,Consultancy,"Golder Associates USD 601,386.00",,Golder Associates,USD,601386.0,601386.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Info_John-Compton-Dam-Desilting-and-Rehabiltation-Study_SLU.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-004,Fourth Road Project (West Coast Demerara Road Improvement): Monitoring and Evaluation,Transportation,Guyana,Consultancy,"MMM Group USD 75,875.00",,MMM Group,USD,75875.0,75875.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Fourth-Road-Project_Monitoring-and-Evaluation_Guyana.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-005,"Fourth Road Project, South Leeward Rehabilitation and Upgrade (Kingstown to Layou)",Transportation,Saint Vincent and the Grenadines,Works,"Dipcon Engineering Services Limited XCD 21,875,066.09",,Dipcon Engineering Services Limited,XCD,21875066.09,8101876.33,https://www.caribank.org/sites/default/files/publication-resources/FourthRoadSVGContract.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-006,Improving the Business Climate for the Marine and Yachting Sector,Financial Services,Grenada,Consultancy,"The Marine Institute USD 170,000.00",,The Marine Institute,USD,170000.0,170000.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Marine-and-Yachting-Association-of-Grenada_Technical-Workforce-Training_Grenada.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-007,Belize Education Sector Reform Project: Strengthening of the Regulatory Framework,,Belize,Consultancy,"Trevor Hamilton and Associates US$ 182,540",,Trevor Hamilton and Associates,US$,182540.0,182540.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_Education-Sector-Reform-Project_Strengthening-of-the-Regulatory-Framework_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-008,Fourth Road Project (West Coast Demerara Road Improvement): School Road Safety Education Programme,,Guyana,Consultancy,"TRL Limited GBP 252,107.00",,TRL Limited,GBP,252107.0,415095.17,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_School-Road-Safety-Education_Fourth-Road-Project_Guyana.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-009,Road Accident Emergency Services,Transportation,Belize,Goods,"Reliable Emergency Vehicles Inc. of Texas USD 309,940.00",,Reliable Emergency Vehicles Inc. of Texas,USD,309940.0,309940.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Road-Accident-Emergency-Services_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-010,Development of Second Language Acquisition Strategies,Education,Belize,Consultancy,"Mount Saint Vincent University USD 148,400",,Mount Saint Vincent University,USD,148400.0,148400.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Development-of-Second-Language-Acquisition-Strategies_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014,CDB
2014,CDB2014-011,Storm Water Flood Risk Management Study,Climate,Turks and Caicos Islands,Consultancy,"Dillon Consulting Ltd. USD 134,385.00",,Dillon Consulting Ltd.,USD,134385.0,134385.0,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION-_Stormwater-Flood-Risk-Management-Study-_TCI.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014&page=1,CDB
2014,CDB2014-012,Belize Road Safety Project: Lot 3 – George Price Highway Resealing,,Belize,,"M&amp;R Construction L imited BZD 1, 298,576.42",,M&amp;R Construction L imited,BZD,1298576.42,649288.21,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Lot-3_George-Price-Highway-Resealing_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014&page=1,CDB
2014,CDB2014-013,Belize Road Safety Project: Lot 2 – George Price Highway Road Safety Furniture and Delineation,Transportation,Belize,Works,"Teichroeb &amp; Sons Limited BZD 2, 539,571.76",,Teichroeb &amp; Sons Limited,BZD,2539571.76,1269785.88,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Lot-2_George-Price-Highway_-Road-Safety-Furniture-and-Delineation_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2014&page=1,CDB
2015,CDB2015-001,Road User Education and Awareness,Transportation,Belize,Goods,"Tenchtronics Communications Limited USD 30,640.50",,Tenchtronics Communications Limited,USD,30640.5,30640.5,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Road-User-Education-and-Awareness_Belize-Road-Safety-Project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-002,Youth and Community Transformation Project,Youth,Belize,Works,"BAE Construction BZD 86,216.82",,BAE Construction,BZD,86216.82,43108.41,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award_Samuel-Haynes-Institute-of-Excellence-Fence-Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-003,Dead Tank Breakers for Sixth Power Project,Climate,Belize,Goods,"Sucursal Panama de ABB, S.A. USD 131,690.00",,"Sucursal Panama de ABB, S.A.",USD,131690.0,131690.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice_BEL-Sixth-Power-Project_ABB-breakers.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-004,ABB Power Transformer for Sixth Power Project,Climate,Belize,Goods,"Sucursal Panama de ABB, S.A. US$594,250.00",,"Sucursal Panama de ABB, S.A.",US$,594250.0,594250.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice_BEL-Sixth-Power-Project_ABB-power-transformer.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-005,"Reclosers, Regulators, By-pass switches, and Transformers for Sixth Power Project",Climate,Belize,Goods,"APS Power Solutions LLC. USD 517,134.48",,APS Power Solutions LLC.,USD,517134.48,517134.48,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice_BEL-Sixth-Power-Project_APS.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-006,Remote Terminal Unit for Sixth Power Project,Climate,Belize,Goods,"Advanced Control Systems Inc. USD 23,217.00",,Advanced Control Systems Inc.,USD,23217.0,23217.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Notice_BEL-Sixth-Power-Project_ACS.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-007,Hurricane Tomas Rehabilitation and Reconstruction Project: Mountain Springs Ravine Slope Stabilisation Project,Climate,Regional,Consultancy,,,,,,,,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-008,Study on Demand for Selected Specialty Foods in CARIFORUM Market,Financial Services,Regional,Consultancy,"Visions and Concepts USD 86,345.00",,Visions and Concepts,USD,86345.0,86345.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Study-on-Demand-for-Specialty-Foods-in-CARIFORUM.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-009,Hurricane Tomas Rehabilitation and Reconstruction Project: Entrepot River Slope Stabilisation Project,,Saint Lucia,Consultancy,"Construction and Machinery Services Ltd. XCD 2,036,896.68",,Construction and Machinery Services Ltd.,XCD,2036896.68,754406.18,https://www.caribank.org/sites/default/files/publication-resources/Hurricane-Tomas-Rehabilitation-and-Reconstruction-Project-Information-Entrepot-River-Slope-Stabilisation-Project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-010,Development of Comprehensive DevInfo Plans,Institutions,Regional,Consultancy,"Caribbean DMS, in association with Community Systems Foundation USD 110,090.00",,"Caribbean DMS, in association with Community Systems Foundation",USD,110090.0,110090.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_-Development-of-DevInfo-Implementation-Plans.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015,CDB
2015,CDB2015-011,National DevInfo Workshops – Sensitisation of Policy/Decision Makers and Training of Line Ministries in Management of Statistical Data,Institutions,Regional,Consultancy,"Caribbean DMS, in association with Community Systems Foundation USD 73, 280.00",,"Caribbean DMS, in association with Community Systems Foundation",USD,73280.0,73280.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_DevInfo-Training-Workshops1.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2015,CDB2015-012,Proposal to Conduct a VETAS Integration Diagnostic Review for the Barbados Revenue Authority,Institutions,Barbados,Consultancy,"SOAint Gestion S.A. USD 80,162.50",,SOAint Gestion S.A.,USD,80162.5,80162.5,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award_VETAS-Integration-Diagnostic-Review_Barbados.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2015,CDB2015-013,Conduct of Feasibility and Design of In-Market Liaison Service for Specialty Foods – EU and US Markets,Financial Services,Regional,Consultancy,"NEX Consulting, SRL USD 182,164",,"NEX Consulting, SRL",USD,182164.0,182164.0,https://www.caribank.org/sites/default/files/publication-resources/Conduct-of-Feasibility-and-Design-of-In-Market-Liaison-Service-for-Speciality-Foods.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2015,CDB2015-014,Bequia Hospital Renovations,Poverty Alleviation,Saint Vincent and the Grenadines,Works,"Frederick Construction Inc. XCD 371,614.60",,Frederick Construction Inc.,XCD,371614.6,137635.04,https://www.caribank.org/sites/default/files/publication-resources/ContractAward_Works_BNTF_Bequia_Hospital_StVincent.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2015,CDB2015-015,Establishment of a Central Revenue Authority: Consultancy to Develop a Branded Customer Service Experience at the Barbados Revenue Authority,Institutions,Barbados,Consultancy,"National Initiative for Service Excellence BDS 49,879.00",,National Initiative for Service Excellence,BDS,49879.0,24939.5,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT-AWARD-INFORMATION_CONSULTANCY_SERVICES-Establishment-of-a-Central-Revenue-Authority.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2015,CDB2015-016,"Belize Road Safety Project: Lot 4B – Hummingbird Highway, Forest Drive, Constitution Drive And Belmopan Ring Road",Transportation,Belize,Works,"Belize Roadway Construction Ltd. BZD 6,097,031.88",Belize,Roadway Construction Ltd.,BZD,6097031.88,3048515.94,https://www.caribank.org/sites/default/files/publication-resources/CONTRACT_AWARD_INFORMATION-WORKS-LOT-4B_Belize-Road-Safety-Project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2015&page=1,CDB
2016,CDB2016-001,Wa-1 Network Upgrade Project- Water Audit Consultancy,Water Resource Management,Dominica,Consultancy,"FICHTNER GMBH &amp; CO. KG XCD 429,993.60",,FICHTNER GMBH &amp; CO. KG,XCD,429993.6,159256.89,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-_Water-Audit-Consultancy_DOWASCO.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2016,CDB
2016,CDB2016-002,Rehabilitation of Wilton Cumberbatch Field,Poverty Alleviation,Belize,Works,"SM Construction BZD 905,879.04",,SM Construction,BZD,905879.04,452939.52,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Works_Wilton-Cumberbatch-Field_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2016,CDB
2016,CDB2016-003,"Carmelita Government Preschool Reconstruction, Orange Walk District",Education,Belize,Works,"LV &amp; Son’s Construction Ltd. BZD 257,890.89",,LV &amp; Son’s Construction Ltd.,BZD,257890.89,128945.45,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Inforamtion_WORKS_BNTF_Carmelita-Preschool_Belize%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2016,CDB
2016,CDB2016-004,"Kuxlin Ha Primary School Reconstruction, Cayo District",Education,Belize,Works,"A.M. Construction Co. Ltd. BZD 893,630.99",,A.M. Construction Co. Ltd.,BZD,893630.99,446815.49,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_WORKS_BNTF_KUXLIN-HA-Primary-School_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2016,CDB
2016,CDB2016-005,Settlement Upgrade Project: The Assessment of the Institutional Arrangements for Housing in Saint Lucia,Poverty Alleviation,Saint Lucia,Consultancy,"Profiles Consulting Inc USD 108,682.00",,Profiles Consulting Inc,USD,108682.0,108682.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Assessment-of-Institutional-Arrangements-for-Housing_StLucia.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2016,CDB
2017,CDB2017-001,Electrical Engineering Consultancy Services for the Electricity System Upgrade and Expansion Project,Climate,Suriname,Consultancy,"Fichtner GmbH &amp; Co. KG USD 2,218,400.00",,Fichtner GmbH &amp; Co. KG,USD,2218400.0,2218400.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Electrical-Engineering-Consultancy-Services_09012018-002%281%29.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-002,Updating of a Feasibility Study and the Preparation of Detailed Designs for the Upgrading of the Coastal Highway – Belize,,Belize,Consultancy,"Politecnica Ingeneria Ed Architettura Societa Cooperativa USD 995,000.00",,Politecnica Ingeneria Ed Architettura Societa Cooperativa,USD,995000.0,995000.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Updating-Feasibility-Study_Preparation-of-Designs-for-Coastal-Highway_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-003,Road Infrastructure Rehabilitation Project,Transportation,Antigua and Barbuda,Works,"Bahamas Hot Mix Co. Ltd. USD 14,992,213.06",,Bahamas Hot Mix Co. Ltd.,USD,14992213.06,14992213.06,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-_Road-Infrastructure-Rehabilitation-Project_Antigua-and-Barbuda.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-004,Baseline Survey for “Building Adaptive Capacity and Resilience to Climate Change in Toledo” Project in Belize,Climate,Belize,Consultancy,"Consortium Equal Chance @ Green Development and Praxis5 USD 72,735.00",,Consortium Equal Chance @ Green Development and Praxis5,USD,72735.0,72735.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_CDRRF-HPPB-Baseline-Survey.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-005,Road User Education and Awareness Component- Road Safety Project– Belize,Transportation,Belize,Consultancy,"Ignite Limited BZD 109,435.00",,Ignite Limited,BZD,109435.0,54717.5,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Road-Safety-Project_Road-User-Education-and-Awareness_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-006,Design and Delivery of Online and Face-to-Face Public Policy Analysis and Management Training,Institutions,Regional,Consultancy,"Dods Training (Westminster Explained) USD 804,250",,Dods Training (Westminster Explained),USD,804250.0,804250.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Public-Policy-Analysis-and-Management-Training.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-007,Monitoring & Evaluation of Public Policy Analysis and Management (PPAM) and Project Cycle Management (PCM) Training Project,Institutions,Regional,Consultancy,"MindBloom Consulting USD 187,000.00",,MindBloom Consulting,USD,187000.0,187000.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Monitoring-and-Evaluation-Training-Project.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-008,Mid-Term Evaluation of the Community Disaster Risk Reduction Fund (CDRRF) Project,Climate,Regional,Consultancy,"Universalia Management Group Ltd. USD 59,819.00",,Universalia Management Group Ltd.,USD,59819.0,59819.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_CDRRF-Mid-Term-Evaluation.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-009,Equipment for Materials Laboratory for Road Infrastructure Rehabilitation Project,Transportation,Antigua and Barbuda,Goods,"Sotex International Ltd USD $122,029.48",,Sotex International Ltd,USD,122029.48,122029.48,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Supply-of-Equipment-for-Materials-Laboratory_Antigua.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2017,CDB2017-010,Feasibility Study and Action Plan for the Digitalisation of Caribbean Music and Capacity Building Initiative Project,Financial Services,Regional,Consultancy,"Policy Networks International Inc. USD 145,580.00",,Policy Networks International Inc.,USD,145580.0,145580.0,https://www.caribank.org/sites/default/files/publication-resources/ContractAwardInformation_FeasibilityStudy_DigitalisationofCaribbeanMusic.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2017,CDB
2018,CDB2018-001,Fourth Road (Santa Elena/San Ignacio Bypass) Project: Lot #3- Branch Mouth to Joseph Andrews Drive,Transportation,Belize,Works,"Cisco Construction Ltd. BZD 3,873,059.43",,Cisco Construction Ltd.,BZD,3873059.43,1936529.72,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-Lot-3_Branch-Mouth-to-Joseph-Andrews-Drive_Fourth-Road-Project_Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
2018,CDB2018-002,John Compton Dam Rehabilitation Project: Institutional Strengthening of the Finance and Accounting Department of WASCO,Water Resource Management,Saint Lucia,Consultancy,"PKF Professional Services USD 146,114.81",,PKF Professional Services,USD,146114.81,146114.81,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Institutional-Strengthening-of-Finance-and-Accounting-Department_WASCO.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
2018,CDB2018-003,Contract Award Information Placencia Peninsula Wastewater Management Project,,Belize,Consultancy,"CBCL Ltd. US$ 899,098.00",,CBCL Ltd.,US$,899098.0,899098.0,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information-NFT-Sudy.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
2018,CDB2018-004,Grid-Interactive Solar Photovoltaic with Battery Storage Electric Systems and Accessories for Schools & Clinics,Climate,Antigua and Barbuda,Goods,"Green Tech Solar and Antigua Computer Technology Ltd. USD 938,017.44",,Green Tech Solar and Antigua Computer Technology Ltd.,USD,938017.44,938017.44,https://www.caribank.org/sites/default/files/publication-resources/Contract-Award-Information_Goods_Solar-Photovoltaic-Systems-and-Accessories-for-Schools_Antigua.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
2018,CDB2018-005,Fifth Road (Washington Boulevard) Project,Transportation,Jamaica,Works,"Surrey Paving and Aggregate Co. Ltd. JA$ 1,176,184,636 .05",,Surrey Paving and Aggregate Co. Ltd.,JA$,1176184636.05,9126800.43,https://www.caribank.org/sites/default/files/publication-resources/Fifth-Road-Washington-Boulevard-Project-Jamaica.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
2018,CDB2018-006,Kendal Bridge Rehabilitation,Transportation,Belize,Works,"Cisco Construction Ltd. of Belize BZD 11,899,079.35",,Cisco Construction Ltd. of Belize,BZD,11899079.35,5949539.67,https://www.caribank.org/sites/default/files/publication-resources/Kendal-Bridge-Rehabilitation-Belize.pdf,https://www.caribank.org/work-with-us/procurement/contract-awards?solr_publication_contract_awards_years_filter=2018,CDB
