name,old_name_zh,new_name_zh,source
TBEA SHANDONG LUNENG TAISHAN CABLE CO. LTD,特变电工山东鲁能泰山电缆有限公司,特变电工山东鲁能泰山电缆有限公司,machine_translated:mymemory
THE 23RD METALLURGICAL CO,第23届冶金CO,第23届冶金CO,machine_translated:mymemory
THE 23RD METALLURGICAL CONSTRUCTION GROUP,第二十三冶金建设集团公司,第二十三冶金建设集团公司,machine_translated:mymemory
TIANJIN YORKOOL INT TRADI,TIANJIN YORKOOL INT TRADI,天津优固国际贸易有限公司,machine_translated:google
VINNO TECHNOLOGY CO.,VINNO TECHNOLOGY Co.,飞依诺科技有限公司,machine_translated:google
WAVTEQ LIMITED,WAVTEQ LIMITED,沃泰克有限公司,machine_translated:google
XIAN ELECTRIC ENGINEERING,西安电气工程,西安电气工程,machine_translated:mymemory
"YUTONG  BUS CO., LTD",宇通客车股份有限公司,宇通客车股份有限公司,machine_translated:mymemory
ZHENGZHOU RUNXIANG MACHINERY EQUIPMENT,郑州润祥机械设备,郑州润祥机械设备,machine_translated:mymemory
ZHENJIANG NO.2 CONSTRUCTION ENGINEERING CO. LTD,镇江市第二建筑工程有限公司,镇江市第二建筑工程有限公司,machine_translated:mymemory
ZTT INTERNATIONAL LIMITED,中天国际有限公司,中天国际有限公司,machine_translated:mymemory
