project_id,project_name,notice_type,notice_no,data_source,record_id,bid_reference_no,contract_url,country,year_awarded,date_awarded,awarded_date,sector,sector_reclassify,project_type,procurement_channel,funding_source,financing_linked_to_bid,financing_source_chinese,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_name_zh,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,joint_venture,firm_registered_locally
P090993,AR- Essential Public Health Functions,Contract,1325071,World Bank,1325071,FESP-292-B,https://projects.worldbank.org/en/projects-operations/contractoverview/1325071,Argentina,2012,2012-08-28,2012-08-28,Public Admin; Health,Health,Goods,Project procurement contracts,,,,897750.0,,,,,,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONI,深圳迈瑞生物,191675,China,1,0,0,0.0
P111996,Upgrading and Greening the Rio de Janeiro Urban Rail System,Contract,1284880,World Bank,1284880,006/asjur/09,https://projects.worldbank.org/en/projects-operations/contractoverview/1284880,Brazil,2009,2009-06-23,2009-06-23,,Infrastructure & Energy,Goods,Project procurement contracts,,,,220483182.53,,,,,,"CHINA NATIONAL MACHINERY IMP & EXP-CMC; CNR CHANGCHUN RAILWAY VEHICLES CO, LTD",中国机械进出口集团有限公司；中国国铁集团长春车辆厂,172213; 172214,China; China,1,1,0,0.0
P077712,ST. LUCIA Education Development Project,Contract,1255975,World Bank,1255975,SL/WB-ICB-W-01/05(B) ANSE LA RAYE,https://projects.worldbank.org/en/projects-operations/contractoverview/1255975,St. Lucia,2005,2005-11-29,2005-11-29,Public Admin; Education,Education,Works,Project procurement contracts,,,,4208014.81,,,,,,CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION,中国成套设备进出口股份有限公司,102864,China,1,1,0,0.0
P077712,ST. LUCIA Education Development Project,Contract,1256115,World Bank,1256115,SL/WB-ICB-W-01/05(A) GROS ISLET,https://projects.worldbank.org/en/projects-operations/contractoverview/1256115,St. Lucia,2005,2005-10-29,2005-10-29,Public Admin; Education,Education,Works,Project procurement contracts,,,,3865650.76,,,,,,CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT SHANGHAI CORPORATION; C.O. WILLIAMS (ST. LUCIA) LTD.,中国成套设备进出口集团有限公司；威廉姆斯公司（圣卢西亚）,102864; 139177,China; St. Lucia,1,1,1,0.0
P008177,Uruguay Power Transmission & Distribution Project,Contract,1240081,World Bank,1240081,FF31A HOLLEY GROPU CO. LTD.,https://projects.worldbank.org/en/projects-operations/contractoverview/1240081,Uruguay,2004,2004-04-02,2004-04-02,,Infrastructure & Energy,Goods,Project procurement contracts,,,,1457000.0,,,,,,HOLLEY CROPU CO. LTD,华立作物有限公司,118656,China,1,0,0,0.0
P007927,PY-Maternal Health and Child Development Project,Contract,1224257,World Bank,1224257,ARGON S.R.L. - 106/2.002N (LPI 01-2001),https://projects.worldbank.org/en/projects-operations/contractoverview/1224257,Paraguay,2002,2002-08-06,2002-08-06,Public Admin; Education; Health,Education,Goods,Project procurement contracts,,,,221760.85,,,,,,ST. FRANCIS MEDICAL; GEBRUDER MARTIN GMBH & CO. KG; HEINE,英石。弗朗西斯医疗；吉布德马丁有限公司；海涅,90079; 97788; 100523,China; Germany; Germany,1,0,1,0.0
P008177,Uruguay Power Transmission & Distribution Project,Contract,1215237,World Bank,1215237,"FF31, HOLLEY GROUP CO. LTD. (ITEM 2)",https://projects.worldbank.org/en/projects-operations/contractoverview/1215237,Uruguay,2002,2002-04-12,2002-04-12,,Infrastructure & Energy,Goods,Project procurement contracts,,,,65750.0,,,,,,HOLLEY GROUP CO. LTD.,华立集团有限公司,89346,China,1,1,0,0.0
P007927,PY-Maternal Health and Child Development Project,Contract,1211670,World Bank,1211670,"ARGON LOTE 4,5,;9,4; 12.2;15.3",https://projects.worldbank.org/en/projects-operations/contractoverview/1211670,Paraguay,2001,2001-06-27,2001-06-27,Public Admin; Education; Health,Education,Goods,Project procurement contracts,,,,126221.45,,,,,,ARGON; ST. FRANCIS MEDICAL,氩气；英石。方济各医疗,85513; 90079,Paraguay; China,1,0,1,0.0
SU-L1054,Health Services Improvement Project,,SUB0904,IDB,,,,SURINAME,2021,2021-11-19,,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,prism_goods,,,109400.0,,,,,,TIANJIN YORKOOL INT TRADI,天津优固国际贸易有限公司,CN,CHINA,1,0,0,
TT-L1039,Health Services Support Program,,TTA1788,IDB,,,,TRINIDAD AND TOBAGO,2020,2020-03-06,,HEALTH SYSTEM STRENGTHENING,Health,Loan Operation,Direct Contracting/Selection,prism_goods,,,290000.0,,,,,,BGI HEALTH (HK) CO. LTD,华大健康（香港）有限公司,CN,CHINA,1,0,0,
BO-L1190,Electricity Infrastructure Expansion Program,,BO-L1190-P00071-C02,IDB,,,,BOLIVIA,2025,2025-10-10,,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,FI,,,609435.16,,,,,,"SHANDONG RUITAI GLASS INSULATOR CO.,LTD",山东瑞泰玻璃绝缘子有限公司,CN,CHINA,1,0,0,
SU-L1055,Consolidating a Sustainable Energy Sector,,SUA0378,IDB,,,,SURINAME,2023,2023-04-24,,RURAL ELECTRIFICATION,Infrastructure & Energy,Loan Operation,International Competitive Bidding,prism_goods,,,689813.0,,,,,,SINO SOAR HYBRID TECH CO,中翔混合动力科技有限公司,CN,CHINA,1,0,0,
BO-L1190,Electricity Infrastructure Expansion Program,,BO-L1190-P00064-C01,IDB,,,,BOLIVIA,2025,2025-04-04,,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,Infrastructure & Energy,Loan Operation,International Competitive Bidding,FI,,,782352.85,,,,,,"SHENZHEN SDG INFORMATION CO., LTD.",深圳市特发信息股份有限公司,CN,CHINA,1,1,0,
