project_id,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_duration_months,winning_firm_name,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,single_bidder,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,notice_type,awarded_date,bid_reference_no,project_name
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,33000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261735,Contract Award,2023/11/27,AR-SIP-393274-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,75000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261738,Contract Award,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P145686,Argentina,2023,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,5000.0,2.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261781,Contract Award,2023/07/01,AR-UFOMC-392404-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,75000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261753,Contract Award,2023/11/27,AR-SIP-393275-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,45000.0,1.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261417,Contract Award,2023/11/27,AR-SIP-393268-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P145686,Argentina,2023,World Bank,MDB-financed,IBRD86280,"Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration; Public Administration - Water, Sanitation and Waste Management",consulting,5000.0,4.0,,,,,,Individual Consultant Selection,,,,1.0,OP00261185,Contract Award,2023/04/27,AR-UFOMC-392398-CS-INDV,AR Flood Risk Management Support Project for the City of Buenos Aires
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,"PRINCE, STEPHANIA",,,,,Individual Consultant Selection,,,,1.0,OP00260735,Contract Award,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,"CZYRUK, OLGA BEATRIZ",,,,,Individual Consultant Selection,,,,1.0,OP00260744,Contract Award,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,"PREZ, MARCELO ANDRS",,,,,Individual Consultant Selection,,,,1.0,OP00260745,Contract Award,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,NATALIA DENISSE CARRO,,,,,Individual Consultant Selection,,,,1.0,OP00260728,Contract Award,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,RODRIGO RAL CLARKE,,,,,Individual Consultant Selection,,,,1.0,OP00260727,Contract Award,2023/05/17,AR-APN-309124-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P176781,Argentina,2023,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,goods,1500.0,,SABORES TENTADORES,,,,,Request for Quotations,,,,1.0,OP00260545,Contract Award,2023/05/04,AR-MTESS-363532-GO-RFQ,Promoting Better Jobs through Integrated Labor and Skills Programs
P176781,Argentina,2023,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,consulting,1200.0,,SABORES TENTADORES,,,,,Request for Quotations,,,,1.0,OP00260507,Contract Award,2023/09/22,AR-MTESS-390133-NC-RFQ,Promoting Better Jobs through Integrated Labor and Skills Programs
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,"ROMERO, LAURA FERNANDA",,,,,Individual Consultant Selection,,,,1.0,OP00260275,Contract Award,2023/04/27,AR-APN-309081-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",consulting,30000.0,24.0,FACULTAD DE CIENCIAS AGRARIAS DE LA UNIVERSIDAD NACIONAL DE CUYO,,,,,Direct Selection,,,,1.0,OP00260262,Contract Award,2021/12/07,AR-UCAR-226536-NC-DIR,Integrated Risk Management in the Rural Agroindustrial System
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,FLAVIA BERTOLO,,,,,Individual Consultant Selection,,,,1.0,OP00260285,Contract Award,2023/04/27,AR-APN-309081-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,MARA VICTORIA PIERINI,,,,,Individual Consultant Selection,,,,1.0,OP00260286,Contract Award,2023/04/27,AR-APN-309081-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,BAINOTTI ANTONELLA,,,,,Individual Consultant Selection,,,,1.0,OP00260267,Contract Award,2023/04/27,AR-APN-309081-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P175669,Argentina,2023,World Bank,MDB-financed,IBRD93350,"Public Administration - Agriculture, Fishing & Forestry; Tourism; Other Agriculture, Fishing and Forestry; Social Protection",consulting,95000.0,,CAMILA VARELA,,,,,Individual Consultant Selection,,,,1.0,OP00260284,Contract Award,2023/04/27,AR-APN-309081-CS-INDV,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,6273.0,12.0,,,,,,Individual Consultant Selection,,,,1.0,OP00260057,Contract Award,2023/03/06,AR-UCEPO-278634-CS-INDV,Salado Integrated River Basin Management Support Project
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",consulting,240000.0,,PKF AUDISUR S.R.L (PKF ARGENTINA),,,,,Quality And Cost-Based Selection,,,,1.0,OP00260065,Contract Award,2023/04/25,AR-UCAR-247570-CS-QCBS,Integrated Risk Management in the Rural Agroindustrial System
P176781,Argentina,2023,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,consulting,88000.0,,COOPERATIVA DE TRABAJO VOZ E IMAGEN DEL SUR LTDA.,,,,,Request for Quotations,,,,1.0,OP00260059,Contract Award,2023/07/14,AR-MTESS-370818-NC-RFQ,Promoting Better Jobs through Integrated Labor and Skills Programs
P176781,Argentina,2023,World Bank,MDB-financed,IBRD93370,Social Protection; Public Administration - Social Protection,consulting,48000.0,,PRODEVENT SRL,,,,,Request for Quotations,,,,1.0,OP00260089,Contract Award,2023/09/07,AR-MTESS-379731-NC-RFQ,Promoting Better Jobs through Integrated Labor and Skills Programs
P159843,Argentina,2023,World Bank,MDB-financed,"IBRD87070, IBRD89910",Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,1392197.0,18.0,SERVICIOS IBARRA SRL,,,,,Request for Bids,,,,1.0,OP00259706,Contract Award,2022/10/25,AR-OPISU-239569-NC-RFB,Metropolitan Buenos Aires Urban Transformation Project
P159843,Argentina,2023,World Bank,MDB-financed,"IBRD87070, IBRD89910",Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,1392197.0,18.0,SERVICIOS IBARRA SRL,,,,,Request for Bids,,,,1.0,OP00259708,Contract Award,2022/10/25,AR-OPISU-239569-NC-RFB,Metropolitan Buenos Aires Urban Transformation Project
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,8000.0,5.0,,,,,,Individual Consultant Selection,,,,1.0,OP00259714,Contract Award,2022/10/12,AR-ME-315679-CS-INDV,Improving Inclusion in Secondary and Higher Education
P159843,Argentina,2023,World Bank,MDB-financed,IBRD89910,Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,works,3788353.0,,PMP CONSTRUCCIONES S.R.L.,,,,,Request for Bids,,,,1.0,OP00259694,Contract Award,2022/08/05,AR-OPISU-289444-CW-RFB,Metropolitan Buenos Aires Urban Transformation Project
P159843,Argentina,2023,World Bank,MDB-financed,"IBRD87070, IBRD89910",Housing Construction; Sub-National Government; Social Protection; Water Supply; Sanitation,consulting,1392197.0,18.0,ASHIRA SA,,,,,Request for Bids,,,,1.0,OP00259707,Contract Award,2022/10/25,AR-OPISU-239569-NC-RFB,Metropolitan Buenos Aires Urban Transformation Project
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,10000.0,6.0,,,,,,Individual Consultant Selection,,,,1.0,OP00259544,Contract Award,2023/06/23,AR-ME-293760-CS-INDV,Improving Inclusion in Secondary and Higher Education
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,7500.0,5.0,,,,,,Individual Consultant Selection,,,,1.0,OP00259551,Contract Award,2022/10/28,AR-ME-315678-CS-INDV,Improving Inclusion in Secondary and Higher Education
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,60000.0,,OMIXOM S.R.L.,,,,,Direct Selection,,,,1.0,OP00259218,Contract Award,2023/04/03,AR-UCAR-303592-GO-DIR,Integrated Risk Management in the Rural Agroindustrial System
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,17400.0,,CELSIUS,,,,,Direct Selection,,,,1.0,OP00259150,Contract Award,2023/04/03,AR-UCAR-326033-GO-DIR,Integrated Risk Management in the Rural Agroindustrial System
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,580000.0,6.0,SEASPACE CORPORATION,,,,,Direct Selection,,,,,OP00259219,Contract Award,2023/07/19,AR-UCAR-186688-GO-DIR-2,Integrated Risk Management in the Rural Agroindustrial System
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,8000.0,5.0,,,,,,Individual Consultant Selection,,,,1.0,OP00259228,Contract Award,2022/10/12,AR-ME-315681-CS-INDV,Improving Inclusion in Secondary and Higher Education
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,45000.0,,ROCHA GUILLERMO LEON,,,,,Direct Selection,,,,1.0,OP00259176,Contract Award,2023/09/12,AR-UCAR-364263-GO-DIR,Integrated Risk Management in the Rural Agroindustrial System
P162316,Argentina,2023,World Bank,MDB-financed,IBRD88670,"Public Administration - Agriculture, Fishing & Forestry; Agricultural Extension, Research, and Other Support Activities; ICT Infrastructure; Irrigation and Drainage",goods,25000.0,,ELECTRONICA ARLIA S.R.L.,,,,,Direct Selection,,,,1.0,OP00259221,Contract Award,2023/05/02,AR-UCAR-326040-GO-DIR,Integrated Risk Management in the Rural Agroindustrial System
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,30000.0,,CS&A S.A.,,,,,Direct Selection,,,,1.0,OP00258286,Contract Award,2023/08/25,AR-DGPPSE - ADIF-334118-CS-CDS,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P175138,Argentina,2023,World Bank,MDB-financed,IBRD92320,Railways; Public Administration - Transportation,consulting,11250.0,,FUNDACIN FACULTAD DE INGENIERA PARA LA TRANSFERENCIA TECNOLGICA Y LA PROMOCIN DE EMPRESAS DE BIENES Y SERVICIOS,,,,,Direct Selection,,,,1.0,OP00258258,Contract Award,2023/06/26,AR-DGPPSE - ADIF-326190-CS-CDS,Buenos Aires – Mitre Passenger Railway Line Modernization Project
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,4100.0,5.0,,,,,,Individual Consultant Selection,,,,1.0,OP00258266,Contract Award,2023/07/12,AR-ME-357446-CS-INDV,Improving Inclusion in Secondary and Higher Education
P163345,Argentina,2023,World Bank,MDB-financed,IBRD88530,Health; Public Administration - Health,goods,11200000.0,6.0,GE PRECISION HEALTHCARE LLC,1.0,,,,Request for Bids,,,,,OP00258026,Contract Award,2023/09/29,AR-MSAL-200454-GO-RFB,Supporting Effective Universal Health Coverage in Argentina
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,6730.0,8.0,,,,,,Individual Consultant Selection,,,,1.0,OP00235415,Contract Award,2023/06/14,AR-UCEPO-360347-CS-INDV,Salado Integrated River Basin Management Support Project
P176905,Argentina,2023,World Bank,MDB-financed,IBRD93130,"Agricultural Extension, Research, and Other Support Activities; Agricultural markets, commercialization and agri-business; Public Administration - Agriculture, Fishing & Forestry",goods,10000.0,,DATAWISE SA,,,,,Request for Quotations,,,,1.0,OP00258106,Contract Award,2023/03/07,AR-UCAR-306915-GO-RFQ,Climate Intelligent and Inclusive Agri-food Systems Project
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,1843.0,9.0,,,,,,Individual Consultant Selection,,,,1.0,OP00257752,Contract Award,2022/11/22,AR-UCEPO-324466-CS-INDV,Salado Integrated River Basin Management Support Project
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,17796.0,8.0,,,,,,Individual Consultant Selection,,,,1.0,OP00257825,Contract Award,2023/05/24,AR-UCEPO-340816-CS-INDV,Salado Integrated River Basin Management Support Project
P163345,Argentina,2023,World Bank,MDB-financed,IBRD88530,Health; Public Administration - Health,goods,11200000.0,6.0,ALTHEA S.P.A.,1.0,,,,Request for Bids,,,,1.0,OP00257800,Contract Award,2023/09/29,AR-MSAL-200454-GO-RFB,Supporting Effective Universal Health Coverage in Argentina
P163345,Argentina,2023,World Bank,MDB-financed,IBRD88530,Health; Public Administration - Health,consulting,3063106.0,,DATCO SA,,,,,Request for Bids,,,,1.0,OP00257728,Contract Award,2023/07/03,AR-MSAL-327908-NC-RFB,Supporting Effective Universal Health Coverage in Argentina
P163345,Argentina,2023,World Bank,MDB-financed,IBRD88530,Health; Public Administration - Health,goods,11200000.0,6.0,PHILIPS MEDICAL SYSTEMS NEDERLAND B.V,,,,,Request for Bids,,,,1.0,OP00257774,Contract Award,2023/09/29,AR-MSAL-200454-GO-RFB,Supporting Effective Universal Health Coverage in Argentina
P176905,Argentina,2023,World Bank,MDB-financed,IBRD93130,"Agricultural Extension, Research, and Other Support Activities; Agricultural markets, commercialization and agri-business; Public Administration - Agriculture, Fishing & Forestry",goods,86700.0,,ATRIX,,,,,Request for Quotations,,,,1.0,OP00257564,Contract Award,2023/03/22,AR-UCAR-304220-GO-RFQ,Climate Intelligent and Inclusive Agri-food Systems Project
P161798,Argentina,2023,World Bank,MDB-financed,IBRD87360,"Irrigation and Drainage; Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,122000.0,6.0,,,,,,Individual Consultant Selection,,,,1.0,OP00257135,Contract Award,2023/05/03,AR-UCEPO-338763-CS-INDV,Salado Integrated River Basin Management Support Project
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,,,,,,,Individual Consultant Selection,,,,1.0,OP00257133,Contract Award,2023/10/27,AR-SIP-386074-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,,,,,,,Individual Consultant Selection,,,,1.0,OP00257120,Contract Award,2023/10/27,AR-SIP-386076-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,,,,,,,Individual Consultant Selection,,,,1.0,OP00257134,Contract Award,2023/10/27,AR-SIP-386069-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,,,,,,,Individual Consultant Selection,,,,1.0,OP00257119,Contract Award,2023/10/27,AR-SIP-386077-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,40000.0,,,,,,,Individual Consultant Selection,,,,1.0,OP00257138,Contract Award,2023/10/27,AR-SIP-386061-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
P176905,Argentina,2023,World Bank,MDB-financed,IBRD93130,"Agricultural Extension, Research, and Other Support Activities; Agricultural markets, commercialization and agri-business; Public Administration - Agriculture, Fishing & Forestry",goods,538295.0,,DATCO SA,,,,,Request for Bids,,,,1.0,OP00256860,Contract Award,2022/12/28,AR-UCAR-304752-GO-RFB,Climate Intelligent and Inclusive Agri-food Systems Project
P178609,Argentina,2023,World Bank,MDB-financed,IBRD94550,ICT Services; ICT Infrastructure; Public Administration - Information and Communications Technologies,consulting,83000.0,2.0,VAZQUEZ LUCIANA,,,,,Direct Selection,,,,1.0,OP00256920,Contract Award,2023/11/01,AR-SIP-389543-CS-CDS,Strengthening data infrastructure to close the digital gap in Argentina Project
P168911,Argentina,2023,World Bank,MDB-financed,IBRD89990,Tertiary Education; Primary Education; Public Administration - Education; Secondary Education,consulting,8800.0,6.0,,,,,,Individual Consultant Selection,,,,1.0,OP00256944,Contract Award,2023/06/23,AR-ME-280327-CS-INDV,Improving Inclusion in Secondary and Higher Education
P178609,Argentina,2023,World Bank,MDB-financed,IBRD94550,ICT Services; ICT Infrastructure; Public Administration - Information and Communications Technologies,consulting,83000.0,2.0,MANTALIAN LORENA,,,,,Direct Selection,,,,1.0,OP00256909,Contract Award,2023/11/01,AR-SIP-389542-CS-CDS,Strengthening data infrastructure to close the digital gap in Argentina Project
P174946,Argentina,2023,World Bank,MDB-financed,IBRD92240,ICT Infrastructure; Central Government (Central Agencies); ICT Services,consulting,35000.0,2.0,,,,,,Individual Consultant Selection,,,,1.0,OP00256728,Contract Award,2023/10/31,AR-SIP-389287-CS-INDV,Digital Inclusion and Innovation in Public Services in Argentina
